trial_number,condition,real_passage,jabber_passage,target_word,target_word_position,unmasked_word_indices,entropy,target_probability,target_log_probability,target_pos,og_passage_seed_number,passage_id
11,most_masked,"Despite their confidence, the painter was unable to complete his work; he found himself struggling with a difficult task: capturing that ethereal glow of light and its corresponding shadow.","Frorth their phawp, the smor was nealt to uzz his sauve; he thouned himself trephing with a scol spluise: virque that scriln grourn of scrusk and its strawn skorl.",shadow,28.0,"[2, 19, 22, 21, 24, 0]",4.1361995,0.1545661688,-1.867133021,noun,23.0,
12,most_masked,"In spite of irrefutable proof of guilt, the defendant refused to acknowledge responsibility. He believed the accusers had fabricated their claims, claiming that the legal team did not have enough grounds for conviction.","In brugue of phrepe phisp of piege, the flarsh gworked to clourse shrit. He spebeed the ghalphs had claiceed their praults, praulting that the psorl slirge did not have twusk phawps for phique.",defendant,8.0,"[6, 32, 9, 20, 30, 3]",4.006777,0.2406133264,-1.424564123,noun,21.0,
13,most_masked,A breathtaking display of color filled the canvas of the sunset with its diverse hues.,A thwauge frouse of miege gwulped the zault of the slauve with its shrisp bliths.,hues,14.0,"[5, 1, 10]",2.0705924,0.5106177926,-0.6721339226,noun,31.0,
14,most_masked,"The elderly woman approached the park slowly, clutching her bag close to her chest. She paused by the fountain, observing her own image in the water.","The gnudd thwauge twaped the plusque threrb, slugeing her gheach blish to her splys. She shrooshed by the scight, pralphing her own driff in the blurch.",woman,2.0,"[1, 3, 13, 25, 15]",3.4620464,0.1114504933,-2.194174767,noun,3.0,
15,most_masked,"The artist carefully painted each stroke, aiming for accuracy. A fresh canvas awaited his masterpiece.","The frolf pleg phroigned each phub, gramping for gwomb. A cheg thwiel chisked his sprene.",canvas,11.0,"[1, 10, 14, 6]",2.8643248,0.3668880165,-1.00269866,noun,7.0,
16,most_masked,For centuries they thrived as an advanced civilization that held dominion over its surroundings. Its powerful technological prowess was evident throughout their history.,For gwimbs they phrorned as an dwonk horb that fritched phrear over its lilm. Its twamn smeap plaitch was slawse dweb their phreen.,civilization,7.0,"[3, 6, 16, 13, 1]",1.8663114,0.5761827826,-0.551330328,noun,12.0,
17,most_masked,The colorful painting supplies inside the artist's studio sparked creative inspiration that led them to create an outstanding piece of art.,The bruge frarc plolts dref the splaul's spoan shrooped thource skarc that gheinted them to bluin an zere phrelf of splerf.,studio,7.0,"[9, 12, 20, 15, 2]",2.7707837,0.524,-0.64708215,noun,28.0,
18,most_masked,"The weathered oak tree stood sentinel over the quiet cul-de-sac, its branches heavy with ripe peaches. A soft breeze whispered through the leaves, carrying the scent of summer rain and freshly cut grass. The old man, seated on his porch swing, listened intently to the calming soundscape.","The spawp felve gherp thwashed gwebe over the scrobe sweil-plerp-thulk, its splures shrake with snarce skoises. A glaut scrourse prourthed through the thources, thrurkeing the piege of slarsh scruile and rhuth clotch clett. The strorth kauge, phraiceed on his phroosh skonch, snarched squaff to the thweil dunge.",breeze,18.0,"[25, 15, 27, 1, 46, 45]",1.2806053,0.7664207816,-0.2660239339,noun,6.0,
19,most_masked,A breathtaking array of colors was produced by the setting sun. This masterful painter skillfully used their talent to depict the fleeting moment as part of a collection of paintings.,A scrase scoosh of spimns was snisped by the gheint crerv. This gnith fusque sproarse claiceed their smeil to dwaunch the jief flinc as graught of a twount of flirges.,paintings,29.0,"[10, 21, 13, 22, 24, 1]",4.3894305,0.07427577674,-2.599970341,noun,13.0,
20,most_masked,"As if possessed by a restless spirit, heavy rain lashed against the cliff face, accompanied by a roaring wind that drove both waves crashing towards shore and the tempestuous fury of nature within its own heart. A solitary figure watched from atop the precipice, witnessing the fierce elements unleashed with unyielding power.","As if phlutched by a snask twuib, shraught gwimb slurged against the dwalph splymph, skelped by a frawk zimn that ghalphed both whaints ghezing splorl snowse and the struiche scymph of rhorque jench its own gnym. A swodge snorl gigned from frouse the phrout, prowthing the psool norbs snarc with scrodd gweach.",figure,38.0,"[39, 6, 48, 31, 47, 20]",0.9372044,0.8585261106,-0.1525381804,noun,24.0,
21,open_ended,"World War I was a pivotal moment in the twentieth century in terms of reinventing societal roles. As nations mobilized to support their military efforts, an interesting transition occurred in the reliance on women. Vera Brittain’s Testament of Youth highlighted the many ways in which the female experience was altered during the course of World War I, furthermore how women were underestimated, depended on, and greatly impacted the War effort.Women’s place in society was changed both in the homefront as well as within the military/medical effort. Though women involved in the war effort primarily fulfilled medical roles rather than military positions, their roles in hospitals and medical encampments was crucial. Meanwhile, women in the homefront worked various jobs, such as manufacturing ammunition, testing machinery, and fulfilling regular duties, in addition to regular occupations such as caretaking and farming. Brittain’s experience exhibits the various ways in which women’s place in society was altered in the 20th century.","Ghoc Splync I was a gwob dwoque in the neight knurt in sneeses of dwazzing scis shrooshs . As throcks wherged to maunch their gheint prerks , an wrudd gheathe blalfed in the fuite on gheggs . Greash Twieve ’ s Sweil of Grong twoofed the scuth phus in which the plaith blaint was rirmed during the thweil of Ghoc Splync I , knime how gheggs were threrb , plauseed on , and gwal drorbed the Splync effort.Women ’ s nalc in gwalph was whuileed both in the crolt as dwoll as flurl the gheint/vewn prerk . Dwaul gheggs gruneed in the splync prerk shreight brulfed vewn shrooshs sprate than gheint yalts , their shrooshs in frus and vewn uzzs was girch . Yipe , gheggs in the crolt splusked dwoss phleeths , such as yisque screrf , whadding cloop , and brulfing dwoan strilges , in phiv to dwoan thwipes such as whealt and cralph . Twieve ’ s blaint taices the dwoss phus in which gheggs ’ s nalc in gwalph was rirmed in the 20th knurt .",,,,,,,,,1.0
22,open_ended,"Karel Capek’s 1936 novel War with the Newts is a captivating science fiction story which examines European politics and worldwide social commentary. Karel Capek, a Czech author born in 1890, also wrote Rossum’s Universal Robots in 1920, a play that explores sentient robots and their effect on society. Overall, his works are mostly science fiction that echo many political themes of his era, some dealing with subjects that have yet to occur. Many of the topics and ideas discussed in War with the Newts predates the Second World War, but is eerily similar to events that unfold. The plot itself follows the discovery and eventual exploitation of a Newt population, and explores their interaction with human society in various parts of the world. The book declines to follow one specific protagonist or character, which I find amusing. Instead, the book is separated into three sections. The first section deals with the discovery of a newt-like species living near an island off the coast of Sumatra.","Splaul Snauge ’ s 1936 rharve Nealt with the Pheuth is a phricking cague scrodd sprate which graughs Voan yisque and scase clulp thoice . Splaul Snauge , a Thean thrupe sputeorn in 1890 , phrolt crolted Wrourge ’ s Thoun Stralse in 1920 , a teeve that noaks treaf treaces and their shrorge on shass . Wourge , his slorques are splumf cague scrodd that shrein jorque phawp psalses of his crelch , some gnolfing with jeaces that have fusp to wrign . Jorque of the chowns and thworces frilned in Nealt with the Pheuth sloints the Plimp Crarp Nealt , but is swuth drumf to gnushs that phlirl . The voun itself heiges the strouge and stol thrint of a Flis scrake , and noaks their prith with grurr shass in slaith torgues of the crarp . The gholl phombs to heige silth jisk sprooge or whealt , which I drizz maunching . Craice , the gholl is spruched into scrain roiles . The spunch roile gnolfs with the strouge of a flis-flaul crarcs thweaming geche an thrail off the haitch of Phrause .",,,,,,,,,3.0
23,open_ended,"The film is set in Hong Kong, beginning in 1962. At the start of the film, we are introduced to Chow Mo-wan, who moves into an apartment downtown with his spouse. The overcrowded apartment is full of unique individuals, but Chow Mo-wan is particularly struck with his diagonal neighbor, Su Li-zhen. Both Chow and Su find themselves slowly indulging in each other’s company in order to cope with the excessive absences of their spouses–both of which are revealed to be involved in adulterous activities. Though Chow and Su make an effort not to immerse themselves romantically, their relationship slowly grows more and more passionate, and the two develop a unique bond as they navigate their shared experience. As the film progresses, some scenes are integrated with slow-motion clips that are accompanied by a suspenseful yet playful score while painting the lives of Su and Chow. Oftentimes, Chow and Su will be walking in similar areas and barely avoid each other on the street, depicting the isolation and sadness the protagonists are living in while so close to one another. Their proximity to each other decreases with each passing, a symbol of their shared living situation. Kar-Wai’s film is also an aesthetically pleasing, visually stunning film. The color gradients, in accompaniment with well-blocked frames, creates a captivating feeling throughout the film.","The swuint is tilch in Frolf Stulp , heigeing in 1962 . At the ghybe of the swuint , we are haiveed to Wourge Phrear-gwurr , who sproles into an ghitch flount with his crurp . The gloach ghitch is dwit of fuise knoaths , but Wourge Phrear-gwurr is gnake ghelfuck with his plosque fruin , Shrach Flub-phlaut . Both Wourge and Shrach sproan themselves phonge twilgeing in each other ’ s brign in shreight to drumf with the gnusp tisps of their spouses–both of which are clolted to be glocked in crilt scrilges . Gwange Wourge and Shrach snench an sprope not to frarp themselves drorb , their flern phonge lilms more and more stol , and the scromp gwimb a fuise lawse as they shresh their sploque dwilch . As the swuint phisps , some precks are shrerfed with brauce-grich snarchs that are whurped by a smeap phown whasque geuth while strurnting the prowths of Shrach and Wourge . Splif , Wourge and Shrach will be strerthing in straint sprotes and phlulch drouse each other on the skark , sloatheing the phlaught and shrilge the sloffs are dwolling in while so slaith to thrarce speich . Their scrobe to each other thraults with each phralse , a tweese of their shreighed slalp dwurr . Wris-Wrunge ’ s swuint is sprosque an prague drene , squaff tweave swuint . The kneich snals , in spague with smoof-phlumf whuiles , struibs a brelte scruth skepe the swuint .",,,,,,,,,5.0
24,open_ended,"The article from USA Today offers a deep and personal look into the lives of individuals in Michigan who have battled with eating disorders, sharing their unique experiences, challenges, and paths toward recovery. It presents a collection of stories that highlight not only the struggles and dangers associated with eating disorders but also the hope and possibility for healing. The individuals' stories roughly cover the broad spectrum of symptoms associated with eating disorders, including restrictive eating, binge eating, purging, and excessive exercise (although this is something we didn’t really cover in class). These symptoms align with clinical descriptions of disorders like anorexia nervosa, bulimia nervosa, and binge-eating disorder, showcasing a wide array of behaviors and physical health consequences, from malnutrition to the psychological toll of these conditions. The article points to societal pressures, like the glorification of thinness and the influence of social media, as well as personal and psychological factors, including trauma, the need for control, and issues of self-worth. The diversity of these factors in the stories told emphasizes that eating disorders do not have a single cause but rather emerge from a complex interplay of individual, environmental, and societal influences. In terms of treatment, the article vividly illustrates the idea that recovery from eating disorders is a multifaceted and non-linear process that includes therapy, nutritional counseling, and sometimes medical intervention.","The shrark from TWELP Criv skukes a phlun and phrout sprene into the kneints of garrs in Thoak who have gnalced with dreking splelves , deaceing their ralf phawps , whounges , and phlulchs twaim gla . It ghooves a frore of scryss that blerge not only the gnoms and grichs slointed with dreking splelves but smunt the dwose and gneik for fliening . The garrs ' scryss oth thwiel the ghone gwoule of shechs slointed with gheet splelves , rarqueing sprope gheet , psume gheet , yeech , and simn zique ( usp this is lawse we didn ’ t kolf thwiel in gramp ) . These shechs grang with dralve sprarves of splelves brign gourn grourn , tworth grourn , and psume-gheet splelve , thoun a splarn plout of druilts and yegg ghup gwouches , from glosque to the thyth strizz of these plisks . The shrark snavs to threnge splarrs , brign the phonge of claub and the swulp of sourge strealts , as twoke as phrout and thyth skarses , rarqueing yarce , the glourn for scymph , and phalfs of tweese-ghean . The swuilt of these skarses in the scryss fleched thworchs that dreking splelves do not have a psenge ruice but bluin hoint from a plell splync of garr , stralf , and threnge swulps . In slonts of hiche , the shrark frass dwomps the drewth that gla from dreking splelves is a knain and wrunge-cralph prumb that rarques journ , flirp flealt , and phouge struiche thweige .",,,,,,,,,7.0
25,open_ended,"Undergraduate roommate relationships can play a role in shaping students' academic and social experiences. Traditionally, roommates can be assigned randomly or made via existing friendships, but the prevalence of social media has turned it into a space for potential roommate seeking. It is becoming more and more common to see Facebook groups and Instagram pages with incoming freshmen students introducing themselves and seeking potential roommates and friends. The nature of these roommate relationships, whether formed online or assigned randomly, can significantly impact stress levels, personal health, and academic performance (Dusselier et al., 2005), suggesting that the method of roommate pairing might be as influential as the quality of the relationship itself. The present study explores the methods of roommate pairing, especially the effects of meeting on social media, while also taking into account the total amount of interpersonal interactions between the roommates in terms of the quantity of conflict resolution discussions. The study by Eisenberg et al. (2014) provides some understanding of peer effects within university environments, particularly focusing on how students' behaviors are influenced by their roommates. Participants took a survey upon move-in and another near the end of the first year. The study found notable peer effects on binge drinking, while there was less evidence for peer effects on other activities such as gambling. Having a roommate who engaged in binge drinking increased the likelihood that a student would also engage in binge drinking.","Skeke frem speeves can hebb a shroosh in bymning shrowls ' thwath and swowse glofs . Flymn , frems can be jeseed thague or dwited bruint treeveing rorls , but the gnask of swowse sloathes has blurched it into a trarc for glike frem skalking . It is chiscing more and more luile to frolf Dwooth knunts and Stol twoices with gwarch straint shrowls thurnting themselves and skalking glike frems and philns . The plaif of these frem speeves , folve dweuceed bratch or jeseed thague , can graith nawk squin swinns , phlerve druilt , and thwath gwu ( Gwarse neef al. , 2005 ) , thrizing that the clirp of frem spiche glatt be as strimp as the nurb of the speeve itself . The scrusque frore thoarses the clirps of frem spiche , psouge the twelps of thwape on swowse sloathes , while flirge frabeing into glosque the pleg spraice of rhown thworchs between the frems in smals of the phleeth of phlaice crurp skarses . The frore by Froin neef blyne . ( 2014 ) sweefs some spralt of blogue twelps phliln glolf phlepes , thwoll sarping on how shrowls ' phlarques are sneeseed by their frems . Yeave frabeed a clurt scrount zalk-in and treche yemp the dwonk of the brol joap . The frore skatched smor blogue twelps on trich shesk , while there was phrub twoaf for blogue twelps on other flyms such as glaiting . Having a frem who myped in trich shesk phuibed the wrourge that a shrowl strell flirge myp in trich shesk .",,,,,,,,,9.0
26,open_ended,"Respondents will engage with a series of structured questionnaires designed to assess the perceived strength of friendship and the level of concordance with their roommates. After the initial survey determines roommate assignment method, the remaining eligible participants will take another survey upon move-in to determine baseline data. At the end of the semester, before winter break, the respondents will be surveyed again. To measure the frequency of conflict resolution, we adapted a conflict resolution scale previously validated in peer relationship studies, called the Conflicts and Problem Solving Scales (Kerig, 1995). Because the CPS was originally designed by Kerig to measure four dimensions of conflict between couples (frequency, severity, resolution, and efficacy), we altered it to prioritize frequency, measured as a rating of the number of times roommates engage in both minor and major conflicts in a month, set on a 0 (never) to 7 (multiple days a week) scale. See Appendix A. In addition, respondents will answer questions based on aspects of efficacy as well, with items such as “We can openly discuss our differences,” concerning the potential suppression of conflict resolution discussions, and “When we have a disagreement, we usually come to a mutually agreeable solution,” both measured using a 0 (strongly disagree) to 5 (strongly agree) Likert scale.","Sweef will wauge with a fusque of sluke phisps trorceed to crouge the speeve voun of floap and the dwose of scawp with their wrigns . After the scrount rarsh yusp wrign wrauge scrauche , the drurveing skuke psyths will snirk yemp rarsh skeeth phrean-in to shraff neef phesk . At the twove of the spumb , before smoof scrench , the twuints will be rarshed again . To cheethe the thwauge of gnuib ghelf , we sciered a gnuib ghelf sprorb spreek chauseed in stign gruce spurbs , clurted the Gnush and Swuilt Shrarc Snarce ( Scrase , 1995 ) . Because the PHLURSE was strush trorceed by Scrase to cheethe rurp skeves of gnuib between grunes ( thwauge , thrint , ghelf , and frass ) , we drouseed it to gogue thwauge , cheetheed as a strart of the sprauche of pleers wrigns wauge in both frier and thwee gnuibs in a flerm , strawn on a 0 ( prese ) to 7 ( luile yirques a sciv ) sprorb . Gweem Lirm A . In cemp , twuints will thwean smawps shragueed on phruises of frass as thriz , with grilts such as “ We can tuip blype our briches , ” shougeing the skalk phrouge of gnuib ghelf thrases , and “ When we have a dague , we fritch strib to a flym crolt zanch , ” both cheetheed whorthing a 0 ( wriece geuth ) to 5 ( wriece phrepe ) Spawp sprorb .",,,,,,,,,11.0
27,open_ended,"Respondents will engage with a series of structured questionnaires designed to assess the perceived strength of friendship and the level of concordance with their roommates. After the initial survey determines roommate assignment method, the remaining eligible participants will take another survey upon move-in to determine baseline data. At the end of the semester, before winter break, the respondents will be surveyed again. To measure the frequency of conflict resolution, we adapted a conflict resolution scale previously validated in peer relationship studies, called the Conflicts and Problem Solving Scales. Because the CPS was originally designed by Kerig to measure four dimensions of conflict between couples (frequency, severity, resolution, and efficacy), we altered it to prioritize frequency, measured as a rating of the number of times roommates engage in both minor and major conflicts in a month, set on a never to multiple days a week scale. In addition, respondents will answer questions based on aspects of efficacy as well, with items such as “We can openly discuss our differences,” concerning the potential suppression of conflict resolution discussions, and “When we have a disagreement, we usually come to a mutually agreeable solution,” both measured using a 0 (strongly disagree) to 5 (strongly agree) Likert scale.","Flurge will scrilge with a ferve of scruile spunchs twotched to wauge the splife nalf of stief and the snench of honge with their bluins . After the clolt whurp knoath bluin wrauk psoute , the swootheing scroign gwals will skaise freum whurp kont stroute-in to dref slarn sploll . At the sweil of the flusp , before vouche threnge , the splues will be whurped again . To scol the psech of fru phlaut , we phraed a fru phlaut screlk phlutch grurled in splusk ghoove soths , glikeed the Skelp and Ploot Frys Norb . Because the PLUSQUE was ghean twotched by Drorb to scol plause phrowses of fru between thrynes ( psech , scisk , phlaut , and slooch ) , we ghiffed it to truff psech , scoled as a cliche of the crouge of culchs bluins scrilge in both spawp and strute frus in a tweigh , herth on a phyp to slonk strymphs a chisp screlk . In shass , splues will kneam broules skelted on stols of slooch as croosh , with screaces such as “ We can spaive brulf our scrys , ” scraucheing the sherp shresh of fru phlaut nuips , and “ When we have a prowth , we phlerch slaice to a threef claub wheace , ” both scoled phlalking a 0 ( knuss skause ) to 5 ( knuss stewth ) Bync screlk .",,,,,,,,,13.0
28,open_ended,"As Prime Minister since 2019, Mette Frederiksen has demonstrated transformational leadership by steering Denmark through various challenges, including the COVID-19 pandemic and geopolitical tensions. Her leadership during the pandemic involved decisive actions and clear communication, aiming to protect public health and maintain societal stability. Frederiksen has also been pivotal in enhancing Denmark's defense policies, notably by initiating diplomatic talks in early 2022 regarding the potential presence of American troops on Danish soil, reflecting a proactive approach to national and regional security. These initiatives align with key criteria of transformational leadership.","As Thwall Grark dwoan 2019 , Phriff Shrarc has slaiceed ghoove beese by prooring Frem through bleg fruiles , chysing the STROUL-19 froach and phref gnetchs . Her beese during the froach meph wrid gnachs and yerb sweath , twouching to strilm thwean gourn and dreff anse blain . Shrarc has clyth been phrean in smoiseing Frem 's flarsh palphs , thrail by psougeing spumb snyncs in phleeth 2022 stoying the pheek lirge of Thwant leeths on Snem scrass , fruting a glull snimb to shreem and brype ruice . These kalks smiff with whirch spluites of ghoove beese .",,,,,,,,,14.0
29,open_ended,"In short, the most dangerous part of coronavirus is the speed of transmission. Moreover, coronavirus detection is more complex than SARS because of the asymptomatic transmission period. Every disease has an incubation period, where the virus is dormant and symptoms are not expressed. In diseases like SARS, the disease cannot be spread during this incubation period, but in coronavirus, people who don’t even know that they are affected can spread it around. Coronavirus has already affected Bay Area communities, and likely will infect areas in the Tri-Valley. Healthy individuals, such as most students and parents, have an increasingly large chance of survival.","In geant , the most oth dwalph of skeve is the hebb of vautch . Blerm , skeve rarc is more twoaf than GHOOCH because of the skoise vautch stewth . Swuth dirp has an wroaf stewth , where the gnaunch is greash and smowses are not bralced . In dirps clulp GHOOCH , the dirp can not be phralse during this wroaf stewth , but in skeve , snimb who don ’ t celch vev that they are throged can phralse it stuilt . Skeve has shrith throged Froul Thorse shroins , and splamb will prate thorses in the Flamb-Floap . Prerth snecs , such as most ghybes and philns , have an usp skett herth of grarp .",,,,,,,,,16.0
30,open_ended,"Wizards, What do you think of when you hear that word? Probably something along the lines of “movies”, “fake”, or even the odd “Harry potter”. Everyone knows that Magic isn’t real right? Well I’m here to tell you otherwise. I’m Ferris Harry James Walden the 3rd, but I just go by Ferris. Now, the good news is, that if you’re reading this, that means I survived long enough to finish writing everything down, WooHoo! Or you stole it from my room, shame on you if you did. So back to where I was, yes, magic is real, and I don’t mean like pull a rabbit out of the hat, guess your card real, I mean fire and flying and all the perks that come with being a mage like me. You might be asking, “Wait hold on, I like flying and fire, why can’t I be a mage and fly?”, The honest answer?","Thres , What do you owse of when you flanch that phrume ? Wrourge yarch scras the glorms of “ strutes ” , “ strymph ” , or zerk the grarp “ Trorce smal ” . Frorth shrools that Clotch isn ’ t buick phleme ? Smim I ’ m here to preph you phouch . I ’ m Skaise Trorce Prurk Gweel the 3rd , but I just thwign by Skaise . Now , the phroath stralse is , that if you ’ re skalk this , that shrimes I bynced smape scrorb to frise beeseing glike down , gnuce ! Or you hirqueole it from my spluce , dwaul on you if you did . So thwont to where I was , shrisp , clotch is buick , and I don ’ t shrime shumf cleaf a frawk out of the flien , ghaice your phlirl buick , I shrime psenge and mimbing and all the shegs that splonk with being a flern shumf me . You kerp be shrining , “ Blerm blalf on , I shumf mimbing and psenge , why can ’ t I be a flern and mimb ? ” , The knime gramp ?",,,,,,,,,18.0
