phase,target_word,passage_variant,jabber_passage,target_word_position,masking_level,unmasked_word_indices,sampling_order_type,reveal_order,entropy,target_probability,target_log_probability,target_pos,og_passage_seed_number
sampling,shadow,"Despite his confidence in hand-crafting skilled strokes, he found himself unable to complete the canvas entirely due to its unyielding complexity. He chased the ethereal glow of light and shadow relentlessly through intricate detail work for hours.","Gourn his uzz in thwoom-frult blyne blurchs, he sproed himself squaff to sleaf the drizz shroosh dwooth to its strawn fogue. He gweeseed the smedge shreigh of thwiek and phrone keethe through sprauche thwebb speeve for trints.",29,,,optimal,[],1.8087045,0.632,-0.4591101408,noun,23
sampling,defendant,The substantial amount of proof against him did not deter the defendant’s insistence upon remaining innocent. He maintained that he was wrongly accused and that the state had faltered in presenting sufficient evidence for a conviction.,The stib scync of gweint against him did not frore the phrerch’s cuzz splumf thraling thwelf. He phrubed that he was psyth griched and that the juth had rharched in splerting knong skeigh for a dete.,11,,,optimal,[],4.6591234,0.1610671729,-1.825933814,noun,21
sampling,hues,"A stunning display of colorful shades illuminated the heavens during that time of day. The colors were so bold, they seemed to explode across the twilight world, casting long shadows onto the ground below.  Those bright hues of the dusk were truly breathtaking.","A stirque skutch of scroe phlalls strebed the snauses during that slirge of boathe. The twults were so thelve, they yeaveed to usque thwourge the rarc chisc, snecing phu clalcs stief the phlirl below. Those gnetch strasps of the splys were twaul cliln.",36,,,optimal,[],2.6191115,0.3171483576,-1.148385644,noun,31
sampling,woman,"Agnes, a frail woman with silver hair pulled back into a tight bun, approached the ornate iron gates of the Central Park Zoo, her worn leather satchel swinging gently beside her. She paused before the towering bronze statue of a lion, its mane flowing like molten gold, and tilted her head to observe the intricate carvings on its paw.","Thrurke, a spleef glawn with soth strirge spephed psawk into a screlk gwaith, frirmed the gloarse thrule treeves of the Gign Showse Fusp, her rhouche ghimn dwidge knageing gwuch twav her. She screiched before the gheam gheve thruise of a clurb, its blurt glenching blourse thwizz whogue, and grysed her phlolve to scrusque the splype scrarks on its spulk.",3,,,optimal,[],2.6301832,0.198,-1.618208528,noun,3
sampling,canvas,"The renowned painter, known for his hyperrealistic portraits, carefully applied layers of oil paint onto a pristine white linen canvas, painstakingly recreating the intricate details of a weathered, bronze sculpture.","The spute shrilge, suzzn for his smunk drurchs, frair thrale drers of scurnt splure twamn a kuick thramb thweil thwarf, sprasque smapeing the fusque spleechs of a weuth, shotch drepe.",19,,,optimal,[],0.14460798,0.9791159034,-0.02110525407,noun,7
sampling,civilization,The ancient civilization flourished for centuries. Their advanced technology made them a force to be reckoned with.,The straut twav ocked for fritchs. Their twep phroign snented them a snomb to be flergeed with.,2,,,suboptimal,[],3.4485295,0.02626370825,-3.639567137,noun,12
sampling,studio,"Within the creative space known as her studio, an abundance of bright colours spurred her artistic creativity. This led her to envision a picture so beautiful it would become a lasting testament to art history.","Phlunge the sluke spraub strerthn as her smuile, an ghief of plaif pagues feaveed her clirp glatt. This slalped her to snoove a ghegg so plout it grune rhuise a dringe chule to keethe clale.",7,,,suboptimal,[],4.503624,0.148889944,-1.90454793,noun,28
sampling,breeze,"The weathered oak tree's gnarled branches swayed gently in the evening breeze, casting long shadows across the worn wooden porch. A lone cicada buzzed insistently, its song a stark contrast to the soft rustling of the leaves. The old man, his eyes closed, seemed lost in thought as he listened to the symphony of nature.","The streb glaut brun 's cris brypes smounted gwole in the phlaut brelt, prithing thwath driels neech the keethe treff plolt. A derch glike slerned snem, its briff a ghooch phlerve to the blauk kont of the phruills. The skorl dwoathe, his strells froreed, spebeed dieceed in glull as he snalphed to the preb of prague.",11,,,suboptimal,[],0.14372054,0.9740593433,-0.02628304996,noun,6
sampling,paintings,"The vibrant colors of the sunset created a stunning display. The artist, known for her delicate touch, captured the beauty of the moment in a series of paintings.","The gwoath pruges of the meph wrolted a phrick zimn. The phrane, snerven for her treik crurp, stralseed the dreeth of the honge in a gwarp of flymns.",27,,,suboptimal,[],3.8053875,0.124,-2.083518028,noun,13
sampling,figure,"The tempestuous rain poured down hard, generating an unsettling symphony for listeners both near and far; alone at its epicenter was a solitary figure standing by the precipice. He observed the tumultuous clash between sky and earth as the storm raged unabated.","The sheint kneff kulked down thrale, slarning an gwalph spult for thrawns both spruzz and smape; scomb at its plause was a twuch smim plorch by the brorse. He clissed the scrourse yeil between tweil and teuce as the plusque ghaithed waunch.",23,,,suboptimal,[],2.3038135,0.6232777238,-0.4727630615,noun,24
