real_sentence,target_word,mean_accuracy,mean_confidence.,mean_num_words_revealed,target_word_position,mean_rt_before_guess,real_passage,jabber_passage,unmasked_ff_entropy,baseline_entropy,baseline_entropy.1,greedy_words,greedy_indices,greedy_entropy,greedy_ig,most_masked_n,most_masked_words,most_masked_indices,some_masked_n,some_masked_words,some_masked_indices
"A stormy display unfolded before a solitary figure perched upon the precipice. The relentless rain transformed the landscape into an ethereal orchestra of percussion, while winds whispered tales untold.",figure,0.173062565,2.142857143,7.017857143,7,42300.53571,"A stormy display unfolded before a solitary figure perched upon the precipice. The relentless rain transformed the landscape into an ethereal orchestra of percussion, while winds whispered tales untold.","A shouch swerm snarched before a phautch rhuth sarced kolf the pheuth. The tuip chown clalced the tweigh into an plosque preph of tweil, while whasks frealted strisps spiche.",3.397266,7.502956,7.502956,"[""perched"", ""percussion,"", ""unfolded"", ""rain"", ""winds"", ""orchestra"", ""ethereal"", ""display"", ""whispered"", ""untold."", ""landscape"", ""transformed"", ""relentless"", ""upon"", ""tales"", ""stormy"", ""solitary"", ""precipice.""]","[8, 23, 3, 14, 25, 21, 20, 2, 26, 28, 17, 15, 13, 9, 27, 1, 6, 11]","[5.907369, 4.070234, 2.31349, 1.964518, 1.630506, 1.515587, 1.425407, 1.32582, 1.292951, 1.35035, 1.473638, 1.49033, 1.477598, 1.433447, 1.447268, 1.587282, 5.075593, 4.596819]","[1.595587, 1.837135, 1.756743, 0.348973, 0.334011, 0.114919, 0.09018, 0.099587, 0.032869, -0.057399, -0.123288, -0.016692, 0.012732, 0.044152, -0.013821, -0.140014, -3.488311, 0.478774]",4,"[""perched"", ""percussion,"", ""unfolded"", ""rain""]","[8, 23, 3, 14]",7,"[""perched"", ""percussion,"", ""unfolded"", ""rain"", ""winds"", ""orchestra"", ""ethereal""]","[8, 23, 3, 14, 25, 21, 20]"
"A stunning display of colorful shades illuminated the heavens during that time of day. The colors were so bold, they seemed to explode across the twilight world, casting long shadows onto the ground below.  Those bright hues of the dusk were truly breathtaking.",hues,0.358444667,2.245614035,7.122807018,36,35280.40351,"A stunning display of colorful shades illuminated the heavens during that time of day. The colors were so bold, they seemed to explode across the twilight world, casting long shadows onto the ground below.  Those bright hues of the dusk were truly breathtaking.","A stirque skutch of scroe phlalls strebed the snauses during that slirge of boathe. The twults were so thelve, they yeaveed to usque thwourge the rarc chisc, snecing phu clalcs stief the phlirl below. Those gnetch strasps of the splys were twaul cliln.",2.6191115,6.230834,6.230834,"[""shades"", ""truly"", ""breathtaking."", ""heavens"", ""time"", ""world,"", ""twilight"", ""dusk"", ""ground"", ""onto"", ""seemed"", ""long"", ""across"", ""display"", ""stunning"", ""explode"", ""casting"", ""shadows"", ""colorful"", ""bold,"", ""day."", ""colors"", ""bright"", ""illuminated""]","[5, 41, 42, 8, 11, 26, 25, 39, 32, 30, 20, 28, 23, 2, 1, 22, 27, 29, 4, 18, 13, 15, 35, 6]","[3.231383, 1.854235, 1.396617, 1.117855, 1.120693, 1.114195, 0.993158, 0.575236, 0.574448, 0.613057, 0.67886, 0.750502, 0.81801, 0.947531, 0.913328, 1.0795, 1.250529, 1.383924, 1.536707, 1.901472, 2.119484, 2.050137, 2.216141, 2.234857]","[2.999452, 1.377148, 0.457618, 0.278762, -0.002838, 0.006498, 0.121036, 0.417922, 0.000788, -0.038609, -0.065803, -0.071642, -0.067508, -0.129521, 0.034203, -0.166172, -0.171029, -0.133396, -0.152783, -0.364766, -0.218012, 0.069347, -0.166004, -0.018716]",5,"[""shades"", ""truly"", ""breathtaking."", ""heavens"", ""time""]","[5, 41, 42, 8, 11]",10,"[""shades"", ""truly"", ""breathtaking."", ""heavens"", ""time"", ""world,"", ""twilight"", ""dusk"", ""ground"", ""onto""]","[5, 41, 42, 8, 11, 26, 25, 39, 32, 30]"
A stunning display of colors from the setting sun transformed the heavens into a picture worthy of admiration. The rich tones blended together to create a breathtaking panorama. These vivid hues glowed upon the twilight landscape.,hues,0.36010049,2.442622951,8.459016393,30,42133.40984,A stunning display of colors from the setting sun transformed the heavens into a picture worthy of admiration. The rich tones blended together to create a breathtaking panorama. These vivid hues glowed upon the twilight landscape.,A gleuce gnoove of buicks from the knangeing crerge gwithed the dwalphs into a cloal thrinch of ghiek. The preer splerfs ziqueed wronge to glolf a twisque shroosh. These thrase thwarps spleeched frass the sprinc sprate.,1.1664573,7.974282,7.974282,"[""vivid"", ""colors"", ""glowed"", ""panorama."", ""landscape."", ""create"", ""setting"", ""upon"", ""twilight"", ""worthy"", ""rich"", ""stunning"", ""display"", ""sun"", ""picture"", ""heavens"", ""transformed"", ""blended"", ""breathtaking"", ""together"", ""admiration."", ""tones""]","[29, 4, 31, 27, 35, 24, 7, 32, 34, 15, 19, 1, 2, 8, 14, 11, 9, 21, 26, 22, 17, 20]","[5.252272, 3.205873, 1.403246, 0.976866, 0.667517, 0.580893, 0.525686, 0.495491, 0.40547, 0.400836, 0.405693, 0.418854, 0.36441, 0.340095, 0.336858, 0.341659, 0.344585, 0.346712, 0.355255, 0.369306, 0.361643, 0.658237]","[2.72201, 2.046399, 1.802627, 0.42638, 0.309349, 0.086624, 0.055208, 0.030195, 0.090021, 0.004634, -0.004857, -0.013161, 0.054444, 0.024315, 0.003237, -0.004801, -0.002926, -0.002127, -0.008542, -0.014051, 0.007663, -0.296594]",4,"[""vivid"", ""colors"", ""glowed"", ""panorama.""]","[29, 4, 31, 27]",9,"[""vivid"", ""colors"", ""glowed"", ""panorama."", ""landscape."", ""create"", ""setting"", ""upon"", ""twilight""]","[29, 4, 31, 27, 35, 24, 7, 32, 34]"
"A weathered visage reflected concern, and she settled into the bench of the park, eyes locked onto the faraway horizon line.",horizon,0.380367981,2.228070175,6.140350877,19,39428.96491,"A weathered visage reflected concern, and she settled into the bench of the park, eyes locked onto the faraway horizon line.","A claub frorne silthed cluice, and she awned into the plesk of the gwook, cliss shiceed psym the choach ooch clilth.",5.3835382,7.350672,7.350672,"[""onto"", ""weathered"", ""reflected"", ""concern,"", ""park,"", ""bench"", ""visage"", ""settled"", ""line."", ""faraway"", ""eyes"", ""locked""]","[16, 1, 3, 4, 13, 10, 2, 7, 20, 18, 14, 15]","[3.953321, 3.876264, 4.083371, 4.056451, 4.05644, 3.713044, 3.911145, 4.239865, 4.389472, 2.63286, 2.138939, 1.946779]","[3.397351, 0.077058, -0.207108, 0.02692, 1.1e-05, 0.343396, -0.198101, -0.32872, -0.149607, 1.756611, 0.493922, 0.192159]",2,"[""onto"", ""weathered""]","[16, 1]",5,"[""onto"", ""weathered"", ""reflected"", ""concern,"", ""park,""]","[16, 1, 3, 4, 13]"
A worried expression marked the aged woman's face as she took a seat in the park and cast her eyes towards the far-off horizon.,horizon,0.368407298,2.098360656,6.573770492,23,41080.67213,A worried expression marked the aged woman's face as she took a seat in the park and cast her eyes towards the far-off horizon.,A throrm dwoath gwuibed the splowned snourn's thonch as she dawseed a lauce in the nalf and skalk her clirps psech the spleef-off strerth.,2.8372762,0.044596,0.044596,"[""took"", ""woman's"", ""expression"", ""worried"", ""seat"", ""marked"", ""cast"", ""eyes"", ""park"", ""face"", ""aged"", ""towards"", ""far-off""]","[10, 6, 2, 1, 12, 3, 17, 19, 15, 7, 5, 20, 22]","[0.033789, 0.028416, 0.020179, 0.012048, 0.009946, 0.009162, 0.00892, 0.010233, 0.011547, 0.011558, 0.030395, 0.056338, 0.087648]","[0.010807, 0.005373, 0.008237, 0.008131, 0.002102, 0.000783, 0.000242, -0.001313, -0.001314, -1.1e-05, -0.018836, -0.025943, -0.031309]",3,"[""took"", ""woman's"", ""expression""]","[10, 6, 2]",5,"[""took"", ""woman's"", ""expression"", ""worried"", ""seat""]","[10, 6, 2, 1, 12]"
"Agnes, a frail woman with silver hair pulled back into a tight bun, approached the ornate iron gates of the Central Park Zoo, her worn leather satchel swinging gently beside her. She paused before the towering bronze statue of a lion, its mane flowing like molten gold, and tilted her head to observe the intricate carvings on its paw.",woman,0.588428535,2.590163934,9.639344262,3,30098.7541,"Agnes, a frail woman with silver hair pulled back into a tight bun, approached the ornate iron gates of the Central Park Zoo, her worn leather satchel swinging gently beside her. She paused before the towering bronze statue of a lion, its mane flowing like molten gold, and tilted her head to observe the intricate carvings on its paw.","Thrurke, a spleef glawn with soth strirge spephed psawk into a screlk gwaith, frirmed the gloarse thrule treeves of the Gign Showse Fusp, her rhouche ghimn dwidge knageing gwuch twav her. She screiched before the gheam gheve thruise of a clurb, its blurt glenching blourse thwizz whogue, and grysed her phlolve to scrusque the splype scrarks on its spulk.",2.6301832,7.249039,7.249039,"[""hair"", ""approached"", ""worn"", ""statue"", ""Central"", ""leather"", ""bronze"", ""paused"", ""observe"", ""tilted"", ""head"", ""intricate"", ""carvings"", ""like"", ""molten"", ""frail"", ""lion,"", ""gold,"", ""Zoo,"", ""iron"", ""ornate"", ""tight"", ""silver"", ""flowing"", ""mane"", ""towering"", ""back"", ""gates"", ""pulled"", ""beside"", ""Agnes,"", ""bun,"", ""gently"", ""swinging"", ""satchel"", ""Park"", ""paw.""]","[6, 13, 24, 37, 20, 25, 36, 32, 52, 48, 50, 54, 55, 44, 45, 2, 40, 46, 22, 16, 15, 11, 5, 43, 42, 35, 8, 17, 7, 29, 0, 12, 28, 27, 26, 21, 58]","[3.067678, 1.992239, 1.355616, 1.126115, 0.962489, 0.874651, 0.798289, 0.735555, 0.707781, 0.694746, 0.68403, 0.67811, 0.655044, 0.660155, 0.659857, 0.669097, 0.643712, 0.626465, 0.617104, 0.605174, 0.599455, 0.595753, 0.595125, 0.603667, 0.610879, 0.623801, 0.638963, 0.658899, 0.687375, 0.712459, 0.703074, 0.719703, 0.73668, 0.749687, 0.748511, 0.776011, 0.847942]","[4.181361, 1.075439, 0.636622, 0.229501, 0.163626, 0.087838, 0.076362, 0.062733, 0.027774, 0.013036, 0.010716, 0.00592, 0.023066, -0.005111, 0.000297, -0.00924, 0.025385, 0.017246, 0.009361, 0.011931, 0.005718, 0.003702, 0.000628, -0.008542, -0.007212, -0.012922, -0.015162, -0.019936, -0.028476, -0.025084, 0.009385, -0.016629, -0.016977, -0.013007, 0.001176, -0.027499, -0.071931]",7,"[""hair"", ""approached"", ""worn"", ""statue"", ""Central"", ""leather"", ""bronze""]","[6, 13, 24, 37, 20, 25, 36]",15,"[""hair"", ""approached"", ""worn"", ""statue"", ""Central"", ""leather"", ""bronze"", ""paused"", ""observe"", ""tilted"", ""head"", ""intricate"", ""carvings"", ""like"", ""molten""]","[6, 13, 24, 37, 20, 25, 36, 32, 52, 48, 50, 54, 55, 44, 45]"
"Ancient ruins slumbered under the shifting sands, covered by time’s relentless layer after layer of dust.  Researchers dedicated themselves to scrutinizing these remnants for many years until they uncovered their secrets.",years,0.639980219,2.576271186,7.118644068,25,41391.16949,"Ancient ruins slumbered under the shifting sands, covered by time’s relentless layer after layer of dust.  Researchers dedicated themselves to scrutinizing these remnants for many years until they uncovered their secrets.","Gweel smaffs treffed under the placing scruths, strainted by splafe’s phalc splinch after splinch of shurb. Phurt twouched themselves to dreaseing these brypes for scrusque prales until they twuthed their twoars.",1.6688384,6.013155,6.013155,"[""many"", ""dedicated"", ""Researchers"", ""scrutinizing"", ""uncovered"", ""secrets."", ""remnants"", ""ruins"", ""relentless"", ""shifting"", ""Ancient"", ""covered"", ""layer"", ""layer"", ""dust."", ""slumbered"", ""sands,"", ""time\u2019s""]","[24, 17, 16, 20, 28, 30, 22, 1, 10, 5, 0, 7, 11, 13, 15, 2, 6, 9]","[2.057336, 0.759553, 0.570234, 0.488179, 0.482613, 0.451717, 0.49905, 0.511151, 0.58366, 0.626119, 0.709942, 0.839634, 0.937165, 0.985341, 1.007329, 1.07758, 1.177793, 1.260566]","[3.955819, 1.297783, 0.18932, 0.082055, 0.005567, 0.030896, -0.047333, -0.012101, -0.072509, -0.042459, -0.083823, -0.129692, -0.097531, -0.048176, -0.021988, -0.070251, -0.100213, -0.082773]",4,"[""many"", ""dedicated"", ""Researchers"", ""scrutinizing""]","[24, 17, 16, 20]",7,"[""many"", ""dedicated"", ""Researchers"", ""scrutinizing"", ""uncovered"", ""secrets."", ""remnants""]","[24, 17, 16, 20, 28, 30, 22]"
"As dusk settled, the brilliant hues of the setting sun touched every cloud with its own unique touch, showcasing a spectacular display of color. High up in the air, birds soared through the fading twilight, occasionally dipping their wings to catch those fleeting moments of warmth from the sunlight still illuminating them.",display,0.292224462,2.24137931,8.24137931,21,37210.27586,"As dusk settled, the brilliant hues of the setting sun touched every cloud with its own unique touch, showcasing a spectacular display of color. High up in the air, birds soared through the fading twilight, occasionally dipping their wings to catch those fleeting moments of warmth from the sunlight still illuminating them.","As gnirk knonged, the gync frabes of the pham rhelf screaceed thrarque swalm with its own scrauche screace, ghilm a twotch thech of phrawp. Ghimn up in the phlolve, skepes rharveed through the snowse usque, gheint scrasing their guelchs to jorl those sprull pheuths of skourt from the psume tisp phouting them.",3.1380866,5.102089,5.102089,"[""wings"", ""soared"", ""High"", ""sunlight"", ""unique"", ""setting"", ""warmth"", ""sun"", ""twilight,"", ""occasionally"", ""touched"", ""fading"", ""still"", ""brilliant"", ""hues"", ""every"", ""illuminating"", ""dipping"", ""catch"", ""settled,"", ""dusk"", ""cloud"", ""fleeting"", ""moments"", ""spectacular"", ""touch,"", ""birds"", ""air,"", ""showcasing"", ""color.""]","[38, 30, 24, 48, 16, 8, 45, 9, 34, 35, 10, 33, 49, 4, 5, 11, 50, 36, 40, 2, 1, 12, 42, 43, 20, 17, 29, 28, 18, 23]","[4.633113, 4.197526, 3.761262, 3.401477, 3.17185, 2.94237, 2.854811, 2.756973, 2.731645, 2.62716, 2.61113, 2.584252, 2.575172, 2.570585, 2.550196, 2.541072, 2.551823, 2.564608, 2.578256, 2.612196, 2.612546, 2.636915, 2.697009, 2.781299, 3.081121, 3.417125, 3.178452, 2.837089, 3.912202, 4.290536]","[0.468976, 0.435586, 0.436264, 0.359785, 0.229627, 0.22948, 0.087559, 0.097837, 0.025328, 0.104485, 0.01603, 0.026879, 0.009079, 0.004587, 0.020388, 0.009124, -0.010751, -0.012784, -0.013648, -0.033941, -0.00035, -0.024369, -0.060093, -0.084291, -0.299821, -0.336004, 0.238673, 0.341362, -1.075113, -0.378335]",6,"[""wings"", ""soared"", ""High"", ""sunlight"", ""unique"", ""setting""]","[38, 30, 24, 48, 16, 8]",12,"[""wings"", ""soared"", ""High"", ""sunlight"", ""unique"", ""setting"", ""warmth"", ""sun"", ""twilight,"", ""occasionally"", ""touched"", ""fading""]","[38, 30, 24, 48, 16, 8, 45, 9, 34, 35, 10, 33]"
"As if possessed by a restless spirit, heavy rain lashed against the cliff face, accompanied by a roaring wind that drove both waves crashing towards shore and the tempestuous fury of nature within its own heart. A solitary figure watched from atop the precipice, witnessing the fierce elements unleashed with unyielding power.",figure,0.191143758,1.95,11.03333333,38,50713.3,"As if possessed by a restless spirit, heavy rain lashed against the cliff face, accompanied by a roaring wind that drove both waves crashing towards shore and the tempestuous fury of nature within its own heart. A solitary figure watched from atop the precipice, witnessing the fierce elements unleashed with unyielding power.","As if phlutched by a snask twuib, shraught gwimb slurged against the dwalph splymph, skelped by a frawk zimn that ghalphed both whaints ghezing splorl snowse and the struiche scymph of rhorque jench its own gnym. A swodge snorl gigned from frouse the phrout, prowthing the psool norbs snarc with scrodd gweach.",0.9372044,7.469692,7.469692,"[""watched"", ""spirit,"", ""unleashed"", ""nature"", ""elements"", ""drove"", ""towards"", ""restless"", ""accompanied"", ""lashed"", ""fury"", ""power."", ""possessed"", ""within"", ""rain"", ""heavy"", ""roaring"", ""tempestuous"", ""wind"", ""waves"", ""crashing"", ""cliff"", ""shore"", ""fierce"", ""solitary"", ""heart."", ""face,"", ""witnessing"", ""precipice,"", ""atop"", ""unyielding""]","[39, 6, 48, 31, 47, 20, 24, 5, 14, 9, 29, 51, 2, 32, 8, 7, 17, 28, 18, 22, 23, 12, 25, 46, 37, 35, 13, 44, 43, 41, 50]","[2.448168, 1.758848, 1.424864, 1.237411, 1.160539, 1.064092, 1.011782, 0.964674, 0.932599, 0.915007, 0.918985, 0.919666, 0.931869, 0.9511, 0.984778, 1.062649, 1.167387, 1.329955, 1.516026, 1.603687, 1.754737, 2.010446, 2.274908, 2.700078, 3.527154, 3.148503, 3.036546, 3.072478, 2.978321, 2.985319, 3.061275]","[5.021524, 0.68932, 0.333984, 0.187453, 0.076872, 0.096447, 0.05231, 0.047108, 0.032075, 0.017592, -0.003978, -0.000681, -0.012202, -0.019232, -0.033678, -0.077871, -0.104738, -0.162568, -0.186071, -0.087661, -0.15105, -0.255709, -0.264462, -0.425169, -0.827076, 0.378651, 0.111957, -0.035933, 0.094157, -0.006998, -0.075956]",6,"[""watched"", ""spirit,"", ""unleashed"", ""nature"", ""elements"", ""drove""]","[39, 6, 48, 31, 47, 20]",12,"[""watched"", ""spirit,"", ""unleashed"", ""nature"", ""elements"", ""drove"", ""towards"", ""restless"", ""accompanied"", ""lashed"", ""fury"", ""power.""]","[39, 6, 48, 31, 47, 20, 24, 5, 14, 9, 29, 51]"
"As twilight descended, an elderly woman sat upon her favorite porch swing. Her gaze drifted towards the west where the setting sun began to disappear behind the distant hills.",sat,0.650871711,2.610169492,6.983050847,6,28582.33898,"As twilight descended, an elderly woman sat upon her favorite porch swing. Her gaze drifted towards the west where the setting sun began to disappear behind the distant hills.","As pheek snarshed, an thelve brugue shikeed fraif her dwem speich spreal. Her sleige snimbed twoice the crerv where the twauling plimp awned to blarm thrish the phlumf norbs.",2.50129056,5.98518,5.98518,"[""upon"", ""disappear"", ""west"", ""towards"", ""hills."", ""behind"", ""setting"", ""began"", ""distant"", ""sun"", ""twilight"", ""gaze"", ""drifted"", ""descended,"", ""favorite"", ""porch"", ""woman"", ""swing."", ""elderly""]","[7, 24, 17, 15, 28, 25, 20, 22, 27, 21, 1, 13, 14, 2, 9, 10, 5, 11, 4]","[2.736093, 2.631731, 2.616737, 2.518974, 2.484384, 2.558849, 2.6158, 2.754693, 2.869435, 3.000912, 3.087759, 3.450502, 3.557571, 3.653021, 2.782704, 3.39196, 2.034122, 1.341889, 1.237219]","[3.249087, 0.104362, 0.014994, 0.097762, 0.03459, -0.074465, -0.056951, -0.138893, -0.114742, -0.131477, -0.086847, -0.362743, -0.107069, -0.09545, 0.870317, -0.609256, 1.357838, 0.692233, 0.10467]",4,"[""upon"", ""disappear"", ""west"", ""towards""]","[7, 24, 17, 15]",8,"[""upon"", ""disappear"", ""west"", ""towards"", ""hills."", ""behind"", ""setting"", ""began""]","[7, 24, 17, 15, 28, 25, 20, 22]"
"Beneath layers of desert sands lie fragments of antiquity. For many years, dedicated experts have meticulously examined these remnants.",years,0.624083512,2.614035088,4.456140351,11,24120.35088,"Beneath layers of desert sands lie fragments of antiquity. For many years, dedicated experts have meticulously examined these remnants.","Dwir gheams of floaf clurbs dwem sprauches of cralph. For phonge wrarns, sneced nawks have brugue struiteed these ghights.",1.9429593,5.423609,5.423609,"[""dedicated"", ""Beneath"", ""meticulously"", ""examined"", ""remnants."", ""desert"", ""antiquity."", ""many"", ""experts"", ""sands"", ""fragments"", ""lie"", ""layers""]","[12, 0, 15, 16, 18, 3, 8, 10, 13, 4, 6, 5, 1]","[2.632413, 1.840334, 1.168486, 0.963335, 0.942411, 1.63686, 1.838762, 0.848642, 0.629257, 0.548419, 0.543868, 0.547005, 0.583083]","[2.791197, 0.792079, 0.671848, 0.20515, 0.020924, -0.694448, -0.201902, 0.99012, 0.219385, 0.080837, 0.004551, -0.003137, -0.036078]",3,"[""dedicated"", ""Beneath"", ""meticulously""]","[12, 0, 15]",5,"[""dedicated"", ""Beneath"", ""meticulously"", ""examined"", ""remnants.""]","[12, 0, 15, 16, 18]"
Boldly colored strokes created an impressive landscape that felt alive due to its deep hues and flowing motion. The smooth transitions between the colorful elements produced a remarkable visual impact.,landscape,0.270502294,2.280701754,8.649122807,6,34529.29825,Boldly colored strokes created an impressive landscape that felt alive due to its deep hues and flowing motion. The smooth transitions between the colorful elements produced a remarkable visual impact.,Shrert yelked drenes gwiched an slarn tweave that gloach phriff scraque to its brife thauces and yirting gloch. The flusp splitchs between the twaul flurls churged a speich phlumf snamn.,4.4466114,7.897357,7.897357,"[""flowing"", ""deep"", ""impressive"", ""created"", ""remarkable"", ""alive"", ""due"", ""smooth"", ""impact."", ""visual"", ""Boldly"", ""strokes"", ""hues"", ""motion."", ""produced"", ""felt"", ""transitions"", ""colored"", ""elements"", ""colorful""]","[16, 13, 5, 3, 27, 9, 10, 19, 29, 28, 0, 2, 14, 17, 25, 8, 20, 1, 24, 23]","[4.627851, 3.733485, 3.570865, 3.878242, 4.05543, 4.154877, 3.94577, 4.231029, 4.713179, 4.688268, 4.85317, 4.887857, 4.462313, 4.188575, 4.117034, 4.114084, 4.101431, 4.048479, 4.010174, 4.053658]","[3.269506, 0.894367, 0.16262, -0.307376, -0.177189, -0.099447, 0.209107, -0.285259, -0.482151, 0.024911, -0.164903, -0.034687, 0.425544, 0.273738, 0.071541, 0.00295, 0.012653, 0.052952, 0.038305, -0.043485]",4,"[""flowing"", ""deep"", ""impressive"", ""created""]","[16, 13, 5, 3]",8,"[""flowing"", ""deep"", ""impressive"", ""created"", ""remarkable"", ""alive"", ""due"", ""smooth""]","[16, 13, 5, 3, 27, 9, 10, 19]"
Brilliant hues from the sun set created an enchanting display across the azure horizon. Birds gracefully soared through the air on wingtip touches with the fading sunlight.,display,0.231160405,2.438596491,7.175438596,9,36277.45614,Brilliant hues from the sun set created an enchanting display across the azure horizon. Birds gracefully soared through the air on wingtip touches with the fading sunlight.,Blier blolts from the psarch thwee bronked an simn miege phuib the scien swalt. Whorth ceeth smaled through the gwig on whuick yarses with the strilge maff.,3.211174,7.3434,7.3434,"[""created"", ""hues"", ""set"", ""enchanting"", ""Birds"", ""wingtip"", ""air"", ""sunlight."", ""fading"", ""soared"", ""touches"", ""Brilliant"", ""gracefully"", ""azure"", ""sun"", ""horizon."", ""across""]","[6, 1, 5, 8, 14, 21, 19, 26, 25, 16, 22, 0, 15, 12, 4, 13, 10]","[4.718429, 1.940465, 1.41296, 1.226208, 1.499829, 1.714126, 1.829866, 2.040551, 2.166355, 2.352409, 2.517942, 2.865881, 3.169766, 3.282789, 3.266721, 4.137502, 4.552834]","[2.624972, 2.777964, 0.527505, 0.186752, -0.273621, -0.214297, -0.11574, -0.210685, -0.125804, -0.186054, -0.165534, -0.347939, -0.303886, -0.113023, 0.016068, -0.870781, -0.415331]",3,"[""created"", ""hues"", ""set""]","[6, 1, 5]",7,"[""created"", ""hues"", ""set"", ""enchanting"", ""Birds"", ""wingtip"", ""air""]","[6, 1, 5, 8, 14, 21, 19]"
"Buried deep within layers of earth were remnants of forgotten civilizations. For many years now, archaeologists have been meticulously examining every detail of those remnants.",years,0.683908043,2.916666667,4.5,13,24438.76667,"Buried deep within layers of earth were remnants of forgotten civilizations. For many years now, archaeologists have been meticulously examining every detail of those remnants.","Crourth clale gloob gwoaths of clourse were gneiks of brulf cloops. For thwiek twokes now, twouses have been phuib dieceing blourse thwebb of those gneiks.",1.5848396,2.763849,2.763849,"[""many"", ""examining"", ""layers"", ""forgotten"", ""remnants."", ""remnants"", ""Buried"", ""civilizations."", ""earth"", ""meticulously"", ""every"", ""deep"", ""within"", ""detail"", ""archaeologists""]","[12, 19, 3, 9, 24, 7, 0, 10, 5, 18, 20, 1, 2, 21, 15]","[0.876443, 0.597644, 0.540365, 0.502689, 0.480065, 0.459064, 0.455139, 0.466564, 0.467993, 0.476438, 0.49514, 0.510167, 0.510289, 0.540039, 0.768348]","[1.887406, 0.278799, 0.057279, 0.037675, 0.022624, 0.021001, 0.003924, -0.011425, -0.001429, -0.008445, -0.018702, -0.015027, -0.000122, -0.02975, -0.228309]",3,"[""many"", ""examining"", ""layers""]","[12, 19, 3]",6,"[""many"", ""examining"", ""layers"", ""forgotten"", ""remnants."", ""remnants""]","[12, 19, 3, 9, 24, 7]"
"Despite his confidence in hand-crafting skilled strokes, he found himself unable to complete the canvas entirely due to its unyielding complexity. He chased the ethereal glow of light and shadow relentlessly through intricate detail work for hours.",shadow,0.17935005,2.084745763,9.237288136,29,49003.10169,"Despite his confidence in hand-crafting skilled strokes, he found himself unable to complete the canvas entirely due to its unyielding complexity. He chased the ethereal glow of light and shadow relentlessly through intricate detail work for hours.","Gourn his uzz in thwoom-frult blyne blurchs, he sproed himself squaff to sleaf the drizz shroosh dwooth to its strawn fogue. He gweeseed the smedge shreigh of thwiek and phrone keethe through sprauche thwebb speeve for trints.",1.8087045,7.287089,7.287089,"[""light"", ""hours."", ""ethereal"", ""unable"", ""confidence"", ""Despite"", ""entirely"", ""complexity."", ""unyielding"", ""chased"", ""relentlessly"", ""due"", ""skilled"", ""intricate"", ""found"", ""complete"", ""canvas"", ""strokes,"", ""hand-crafting"", ""detail"", ""work"", ""glow""]","[27, 36, 24, 10, 2, 0, 15, 20, 19, 22, 30, 16, 5, 32, 8, 12, 14, 6, 4, 33, 34, 25]","[5.840817, 4.303919, 3.762367, 3.636348, 3.574355, 3.520663, 3.458225, 3.487868, 3.37721, 3.231415, 2.811488, 2.766127, 2.742465, 2.723562, 2.772239, 2.893565, 3.223937, 3.26656, 3.287435, 3.92381, 3.993361, 6.040114]","[1.446271, 1.536898, 0.541552, 0.12602, 0.061993, 0.053692, 0.062437, -0.029643, 0.110659, 0.145795, 0.419927, 0.045361, 0.023662, 0.018903, -0.048677, -0.121326, -0.330372, -0.042623, -0.020875, -0.636375, -0.069551, -2.046753]",4,"[""light"", ""hours."", ""ethereal"", ""unable""]","[27, 36, 24, 10]",9,"[""light"", ""hours."", ""ethereal"", ""unable"", ""confidence"", ""Despite"", ""entirely"", ""complexity."", ""unyielding""]","[27, 36, 24, 10, 2, 0, 15, 20, 19]"
"Despite their confidence, the artist was unable to complete his work. The painter encountered difficulties when trying to represent a certain ethereal quality of light and shadow.",shadow,0.333032712,2.101694915,6.033898305,26,35676.62712,"Despite their confidence, the artist was unable to complete his work. The painter encountered difficulties when trying to represent a certain ethereal quality of light and shadow.","Cluice their girch, the bimb was shynch to glouche his phlech. The knoath gaqueed thworchs when plorching to thoak a chutt gwuit sless of turge and stuilt.",2.8250563,1.357293,1.357293,"[""quality"", ""artist"", ""confidence,"", ""trying"", ""unable"", ""certain"", ""represent"", ""Despite"", ""ethereal"", ""complete"", ""painter"", ""encountered"", ""difficulties"", ""work."", ""light""]","[22, 4, 2, 16, 6, 20, 18, 0, 21, 8, 12, 13, 14, 10, 24]","[0.896216, 0.80975, 0.709275, 0.622707, 0.567388, 0.524496, 0.481925, 0.46226, 0.463974, 0.488337, 0.500796, 0.561125, 0.593359, 0.601932, 0.573692]","[0.461077, 0.086466, 0.100475, 0.086568, 0.055319, 0.042893, 0.042571, 0.019665, -0.001714, -0.024362, -0.012459, -0.060329, -0.032234, -0.008573, 0.02824]",3,"[""quality"", ""artist"", ""confidence,""]","[22, 4, 2]",6,"[""quality"", ""artist"", ""confidence,"", ""trying"", ""unable"", ""certain""]","[22, 4, 2, 16, 6, 20]"
